Year,ISO Code 3,Countries,Economic Freedom Summary Index,Rank,Quartile,1A Government consumption,1B  Transfers and subsidies,1C  Government investment,1Di Top marginal income tax rate,1Dii Top marginal income and payroll tax rate,1D  Top marginal tax rate,1E State ownership,1  Size of Government,Area 1 Rank,2A  Judicial independence,2B  Impartial courts,2C  Property rights,2D  Military interference,2E Legal integrity,2F Contracts,2G Real property,2H Police and crime,Gender Disparity Index,2  Legal System & Property Rights -- With Gender Adjustment,Area 2 Rank,2 Legal System & Property Rights - No Gender Adjustment,3A  Money growth,3B  Standard deviation of inflation,3C  Inflation,3D  Foreign currency bank accounts,3  Sound Money,Area 3 Rank,4Ai  Trade tax revenue,4Aii  Mean tariff rate,4Aiii  Standard deviation of tariff rates,4A  Tariffs,4Bi  Non-tariff trade barriers,4Bii  Costs of importing and exporting,4B  Regulatory trade barriers,4C  Black market exchange rates,4Di  Financial openness,4Dii  Capital controls,4Div Protection of Foreign Assets,4D  Controls of the movement of capital and people,4  Freedom to trade internationally,Area 4 Rank,5Ai  Ownership of banks,5Aii Private sector credit,5Aiii  Interest rate controls/negative real interest rates),5A  Credit market regulation,5Bi  Labor regulations and minimum wage,5Bii  Hiring and firing regulations,5Biii  Flexible wage determination,5Biv  Hours Regulations,5Bv Cost of worker dismissal,5Bvi  Conscription,5Bvii Foreign Labor,5B  Labor market regulations,5Ci  Regulatory Burden,5Cii  Bureacracy costs,5Ciii  Impartial Public Administration,5Civ Tax compliance,5C  Business regulations,5Di  Market openness,5D Freedom to enter markets and compete,5  Regulation,Area 5 Rank,World Bank Region,"World Bank Current Income Classification, 1990-present"
2021.0,ALB,Albania,7.6,31.0,1.0,7.758823529411766,7.133514986376022,7.545714285714286,9.0,7.0,8.0,8.2325,7.734110560300415,26.0,4.478678019555557,4.217970805265846,4.4205751025,8.333333333333334,5.3533333333333335,3.41793257132104,6.715384475810566,5.303920905,1.0,5.2801410682649585,70.0,5.2801410682649585,9.783393623293929,9.00151931111524,9.591705673720908,10.0,9.59415465203252,9.0,9.646799116997792,9.28,8.099200000000002,9.008666372332598,8.403653304166667,9.40532777562155,8.904490539894109,10.0,2.9298973074212857,4.615384615384616,6.903052925833333,5.796940128134528,8.427524260090308,15.0,10.0,7.6985591563320375,10.0,9.232853052110679,6.533333333333333,5.64987045645668,5.575783253333334,8.0,6.299740912913362,10.0,7.764570315833333,7.117614038838577,5.651538371666667,6.222222222222222,5.7875,3.5876248650559095,5.3122213647361995,6.810619344133664,6.227519631813831,6.972552021874821,51.0,Europe & Central Asia,UM
2021.0,DZA,Algeria,4.82,157.0,4.0,3.467647058823529,7.817129014432721,3.997142857142858,7.0,2.0,4.5,2.465,4.449383786079822,163.0,4.040755612444444,3.0258879148544056,5.064927736666666,3.3333333333333335,4.72175,3.1224222379468913,6.626692153182624,5.895796333099712,0.7058823529411765,3.820277185015861,128.0,4.478945665191009,8.007512476649772,6.745704397488365,8.554787385169048,5.0,7.077001064826796,126.0,8.48,6.2,5.896,6.858666666666667,2.6152004612040742,0.47928994082840204,1.547245201016238,5.623663578047044,1.5322331353964327,0.7692307692307693,4.33241436875,1.6584695683443007,3.922011253518562,159.0,0.0,8.014124481205142,7.0,5.004708160401714,4.033333333333333,5.632442594386601,6.522477468333333,6.0,7.755176153834103,3.0,3.231489260833334,5.167845544388672,4.21515425,3.333333333333333,2.6275,4.764764243015144,3.735187956587119,4.4124299187800835,5.439273969609378,4.83675390774672,150.0,Middle East & North Africa,LM
2021.0,AGO,Angola,5.38,149.0,4.0,7.179411764705882,9.702997275204359,8.9,9.0,7.0,8.0,4.745,7.705481807982048,28.0,3.648152384888889,2.819334126811883,3.333289000494246,4.166666666666667,4.2683333333333335,1.1511001983007965,5.52162453571056,2.088988256246294,0.8823529411764706,3.1761751179356077,146.0,3.3746860628065836,7.034568660879195,6.2938552839628805,4.8491468709383,5.0,5.794392703945094,156.0,9.393333333333334,7.82,3.8087999999999997,7.007377777777779,3.5975555575000002,2.514792899408284,3.056174228454142,10.0,2.5,2.307692307692308,3.1835704929123585,1.9978157001511667,5.515341926595773,139.0,5.0,8.942524951569249,4.0,5.980841650523082,6.25,4.5663821153755775,6.969782511666667,4.0,6.632764230751155,0.0,3.5560204583333332,4.567849902303819,2.937894265,4.666666666666667,4.895,4.64146165186923,4.285255645883974,3.099163978308464,4.088526502598424,4.730618425327325,153.0,Sub-Saharan Africa,LM
2021.0,ARG,Argentina,4.77,158.0,4.0,5.691176470588236,5.536784741144415,8.702857142857143,7.0,1.0,4.0,7.102500000000001,6.206663670917959,103.0,4.809560502666667,4.271503864008306,4.792428414166666,7.5,4.768916666666667,3.377623940867386,6.85719510304923,5.955771804166666,0.8823529411764706,4.980352975951952,83.0,5.291625036948949,5.083324244708827,5.501214365401047,0.5799999999999996,5.0,4.041134652527468,161.0,4.424242424242425,7.32,5.8192,5.854480808080808,4.424853383632138,5.649711292971178,5.037282338301658,0.964660936007641,2.6665690541267395,0.0,3.027028829953122,1.4233994710199653,3.3199558883525184,163.0,5.0,6.80308523712005,5.0,5.60102841237335,3.8833333333333337,3.944499866803135,3.1929842633333334,10.0,2.5172538461136824,10.0,7.08607475,5.803449437083356,2.714232603333333,5.111111111111111,7.1225000000000005,4.504147402638555,4.862997779270749,6.144821888643538,4.9312337862043885,5.29967735373296,143.0,Latin America & the Caribbean,UM
2021.0,ARM,Armenia,7.58,33.0,1.0,6.473529411764707,7.316076294277929,8.977142857142859,9.0,7.0,8.0,8.0375,7.760849712637099,25.0,4.899133599111111,4.707710640138684,5.557666269634535,5.0,6.250916666666667,4.059525689714954,9.815934976329594,7.0849307375,1.0,5.921977322386943,52.0,5.921977322386943,8.776812066043034,9.127550966735802,8.563032741113254,10.0,9.116848943473023,53.0,8.981481481481481,8.740000000000002,8.135200000000001,8.618893827160495,4.094873269166666,9.315389045870294,6.70513115751848,10.0,7.9324910044670105,6.153846153846154,5.054189265,7.2851316058282904,8.152289147626817,39.0,10.0,7.213532293213751,10.0,9.07117743107125,5.833333333333334,7.125862692305685,7.248644033333332,10.0,9.251725384611369,0.0,6.024245818333334,6.497687323131008,5.170405704999999,4.666666666666667,6.37,6.020368906249049,5.556860319478929,5.59088257496205,6.631152267823868,6.939219335376264,52.0,Europe & Central Asia,UM
2021.0,AUS,Australia,8.05,8.0,1.0,2.773529411764706,5.1580381471389645,9.308571428571428,5.0,4.0,4.5,7.87,5.92202779749502,122.0,8.463266492666666,8.146737480167086,9.222861528333333,10.0,9.079083333333333,7.841777062711208,8.13991274994929,7.95794487,1.0,8.606447939645115,9.0,8.606447939645115,9.054363550877248,9.654313772270381,9.42721791559001,10.0,9.53397380968441,18.0,8.613199665831244,9.520000000000001,9.040000000000001,9.05773322194375,7.7544219330749575,8.433438559527332,8.093930246301145,10.0,10.0,4.615384615384616,5.84884353672713,5.116057038027937,8.066930126568208,46.0,10.0,7.451051568803857,10.0,9.150350522934618,6.95,8.973062641718235,6.084423065000001,10.0,7.92785491123148,10.0,2.0998072095699847,7.433592546788527,3.981757561666666,7.111111111111112,9.69,8.161510360439962,7.236094758304435,9.357153452550763,8.679479452285955,8.124879320078383,10.0,East Asia & Pacific,H
2021.0,AUT,Austria,7.69,28.0,1.0,2.8500000000000005,1.9836512261580383,10.0,4.0,3.0,3.5,6.414999999999999,4.949730245231608,150.0,7.756031219888889,7.714218638693593,9.309419790833333,10.0,9.025,7.156997525855086,8.100493939892425,9.298795064166667,1.0,8.545119522416249,10.0,8.545119522416249,7.195031177693472,9.8454220492164,9.446666666666669,10.0,9.121779973394135,52.0,8.6,8.98,6.6096,8.0632,7.078798215,9.981656882461547,8.530227548730773,10.0,10.0,3.076923076923077,8.449819882916668,7.59419856626345,8.546906528748556,12.0,8.0,7.888239782690567,10.0,8.629413260896856,8.2,8.75,2.489248116666667,6.0,10.0,3.0,4.751249353333334,6.170071067142857,4.4660965599999995,7.333333333333333,8.74,6.765789116358429,6.826304752422941,7.935144777568556,7.48395989379715,7.27743724356495,38.0,Europe & Central Asia,H
2021.0,AZE,Azerbaijan,5.99,122.0,3.0,5.7705882352941185,7.711171662125341,0.0,9.0,4.0,6.5,3.0375,4.603851979483892,161.0,4.053776994666667,2.966534675748189,4.653053283333334,5.0,4.210916666666667,6.126481204249118,7.613974770294968,7.551862795833333,0.8235294117647058,4.806891956303531,91.0,5.272075048849034,8.757980107507052,5.260470804682004,8.669940174582443,5.0,6.922097771692875,133.0,8.729329852045257,8.299999999999999,5.716,7.58177661734842,5.817269086666667,8.19983032017125,7.008549703418959,10.0,4.8151591420173645,4.615384615384616,4.363143642916667,4.13983210829951,7.1825396072667225,72.0,5.0,10.0,9.0,8.0,6.666666666666667,6.751725384611367,8.176879883333333,6.0,8.503450769222734,1.0,7.500275373333333,6.371285439595347,7.210695743333333,6.666666666666666,2.275,6.264203091733918,5.604141375433479,4.529707138620985,5.768072373887647,6.435874797229118,86.0,Europe & Central Asia,UM
2021.0,BHS,"Bahamas, The",6.55,93.0,3.0,6.114705882352941,7.967302452316076,10.0,10.0,10.0,10.0,6.701154513530619,8.520502083667253,8.0,7.145858568,6.352244459092617,5.0,10.0,6.666666666666667,3.5506415176419224,3.8155004259337106,2.5,1.0,5.628863954666865,63.0,5.628863954666865,9.630855148323704,7.541173490989572,9.419017474143041,0.0,6.647761528364079,144.0,7.423371647509579,3.5,1.55,4.15779054916986,0.0,8.105924621633932,4.052962310816966,10.0,2.5,0.7692307692307693,5.0,2.0673076923076925,5.06951513807363,151.0,10.0,0.0,10.0,6.666666666666667,8.2,5.773212426026233,6.418538047400738,8.0,6.546424852052466,10.0,5.0,7.253272879679783,3.8371419359935195,5.777777777777779,5.82059381443299,6.631277198744707,6.204527488261243,8.004065190038299,7.412033075385345,6.88412502749826,54.0,Latin America & the Caribbean,H
2021.0,BHR,Bahrain,7.44,45.0,2.0,3.3874532471948315,9.43324250681199,10.0,10.0,10.0,10.0,2.555,7.075139150801364,56.0,5.373173531666666,4.553467946995188,7.671740055000001,5.0,5.16125,4.8929072087854095,9.403392421631782,8.225464025833332,0.6470588235294118,5.176025975432156,76.0,6.285174398739047,9.94628161406,7.734672944250239,9.878736122971821,10.0,9.389922670320516,30.0,9.680495946590367,9.040000000000001,6.3136,8.344698648863456,7.15586702,6.673977399859364,6.914922209929681,10.0,8.75,6.153846153846154,7.478115955833333,7.503782840106652,8.190850924724948,35.0,10.0,2.8275013475831576,10.0,7.6091671158610525,6.666666666666667,6.01496268638256,8.05512031,8.0,7.029925372765121,10.0,6.0139258700000005,7.397228700830622,6.061911583333334,8.0,2.3649999999999998,9.873895077237135,6.575201665142616,8.051961841992318,7.921631021426696,7.375807125815247,32.0,Middle East & North Africa,H
